"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","fb","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstaces","performance"
-0.143481235941485,0.0706517938927695,0,-0.0403646631263313,-0.115467425175315,-0.07192646665499,0,-0.0393408346257476,0,0.00639177434748829,0.0488235728394578,0,0.00415975603576545,0,0.0315906282277833,0.0496948825154686,-0.102410433906882,0.00346297878974672,0,0,0.0325627639117324,0,0,0,0.0419971602203673,0,0.049667678415503,-0.0230779948121773,0.157214074018745,0,0,0,0.622262783079529,-0.00976985408969451,1.57897096150442,-0.368088743593305,-0.367173028410976,0.08629395947983,"2016-12-01aaaCDehlllorstt",2016-12-01,"Charlotte","Dallas","Charlotte","Dallas",-0.223655748650172,0.8060665407016,0.93000314897997
0.0509065117792918,-0.0399235908992923,0.07011341887932,-0.0442253324578862,-0.0838629527582687,0.0865131168575848,-0.114593080446177,0.0436235734521377,0,-0.0311128010169096,0,0,-0.00208306993825188,0,-0.0152071026360561,-0.0633713333028678,0.0428647591032391,0.00385277326585906,-0.115177561761438,0,0,0,0,-0.0380980272285681,0,-0.00119600571157541,0,-0.0461559896243547,0.0786070370093727,-0.00212573925962147,0,-0.0156223009162614,0,-0.00976985408969451,0.565044788312767,-0.13172289502134,-1.12655237206745,0.264765266576941,"2016-12-01aahiimMtU",2016-12-01,"Utah","Miami","Miami","Utah",-0.250976704819859,0.0303253081253966,-0.444087513115342
0,-0.0925951352216182,0,-0.0473127940154951,0,0,0.162944083984289,-0.0275091476798065,0,0.0141588445536048,0,0,0.00342145494059655,0,0.011137502652258,0,0,-0.00227133319479491,0,0.0850490356836409,0.0333700620783421,0.120662852432299,0,-0.0347874912211763,-0.0369605806287201,-0.0214904638544507,0,-0.0461559896243547,0.157214074018745,-0.00422092597388524,0.147229693346621,0,0,-0.00976985408969451,1.00688653441803,-0.234724772292091,-0.701949367604083,0.164973964855389,"2016-12-01aBeeikkllMnooruwy",2016-12-01,"Brooklyn","Milwaukee","Milwaukee","Brooklyn",0.167816890508969,0.106837158420505,0.382416052723864
0,0,0,-0.0433006055423819,-0.0707209011844163,-0.182357097232858,-0.0903804394172485,-0.00650645917688923,0,0.0101895265471277,0.0454345434938801,-0.0793296711084569,0.00311381573103137,0,-0.0239965985270461,0,0.151541851960871,0.00658711281415572,0.107939648696922,0,0.0236490927269251,0,0,0,0,-0.00953884151505585,0.0338054751113962,-0.0461559896243547,0.0786070370093727,-0.00468578293787592,0,0,0.622262783079529,-0.00976985408969451,1.30486746587664,-0.30418990455194,-0.881510699339091,0.207174935748985,"2016-12-01adehilmMnoOprs",2016-12-01,"Memphis","Orlando","Memphis","Orlando",-0.15767502173344,0.683833522638068,0.326341797734599
0,-0.0504213777915461,0.0730168829949451,0.0045906314468226,0,-0.00575746263433121,0,0.0291081700454556,0,0.0123968798714888,0.0101644642146913,0,0.00177236149328014,0,0.0730481920716169,0,0,0.0062760866493807,0.113540069477296,0,0,-0.108299034695547,0,0,0.0328730132277752,-0.0346588309618596,0,-0.069233984436532,0.0786070370093727,-0.00530528314691859,0,0,0,-0.00976985408969451,1.88862700153256,-0.440275570013112,-0.492351652628619,0.115713765103154,"2016-12-02  aACeeeillLnNOpprrssw",2016-12-02,"New Orleans","LA Clippers","LA Clippers","New Orleans",0.157650045409469,0.00406776942592211,1.07171354399398
0,-0.0765913384315305,0,0.0510184228656879,0,-0.0117473799871835,-0.105083087970613,-0.00351201636277164,0,0.0125817839118094,0.049636578086306,0.0661599562741128,0,0,0.0719832181344814,0,0.0491837404639883,0.000809166103948649,-0.117301632795747,0,0.0378313940782136,0,0,0,0.0287235148555263,-0.0191713280424638,0.0135063512790321,-0.0461559896243547,0.157214074018745,-0.0024173544453083,0,0,0,-0.00976985408969451,0.602869172294892,-0.140540492251821,-1.64903042155688,0.387559415773751,"2016-12-02 aaAghiinnnnnooosSttW",2016-12-02,"San Antonio","Washington","Washington","San Antonio",0.0345209911837648,0.122147081228115,-0.799142325740062
0,0,0,-0.067167388414583,0,0.0678018611558724,0,-0.0737517285468829,0,0.0243085666675408,0.0578222485218511,0.055652762729069,0.00550665272606344,0,-0.03199144925835,0,0.00760982489588351,-0.00340191052542267,0.131512318537416,0.0424208041520476,-0.0312250158841729,0,0,0,0,-0.00833333097622455,0.0233110775031946,-0.0461559896243547,0.157214074018745,0,0,0,0.622262783079529,-0.00976985408969451,1.44268518073376,-0.336317885840667,-1.16254299656044,0.273223876690796,"2016-12-02 aAekLLnooorrstT",2016-12-02,"Toronto","LA Lakers","Toronto","LA Lakers",0.176764215780108,0.756631944977115,0.217048175023455
-0.0598289842177724,-0.0253093465604076,0,-0.0725930473639055,0.0453010765597905,-0.0831302277902705,0.10886878095516,0.0306118219424444,0,-0.0123051150399231,0.0424555979153049,0.0069576853488627,0.00230454336419767,0,0.00668230780092995,0.116792235933332,0,-0.00382518338878638,-0.117689641547041,0.142430935324496,0,0.115014310771967,0,0,-0.00427329928614177,0,0.0543783270972061,-0.0461559896243547,0.157214074018745,-0.00582997850281628,0,0,0,-0.00976985408969451,0.788402713582956,-0.183791957777236,-0.876323537158321,0.205955835410978,"2016-12-02 aeeikMnnNoorstwY",2016-12-02,"New York","Minnesota","Minnesota","New York",0.238464450722237,0.159606432988781,-0.0657569459416231
0.0367969177477591,0,0,0,0.0707209011844163,0,0,0.0438890551481997,0,0.00472493181154193,0,0.0793296711084569,-0.00125552573968285,0,0.0280728403386291,0,-0.114829081872712,-0.00614594916248053,0,0,0,0,0,-0.0290516776430557,0.08530904025611,0,0,-0.0461559896243547,0.0786070370093727,-0.00504122075244473,0.147229693346621,0,0,-0.00976985408969451,0.906747111169008,-0.211380331269078,-0.34469057371235,0.0810100745409865,"2016-12-02aaaddehhiilllnoOpPr",2016-12-02,"Philadelphia","Orlando","Orlando","Philadelphia",0.197561123177182,0.0274098266325733,0.578915974075187
-0.0340959697696965,-0.0936404020364008,-0.0748041060301577,-0.0129329872428334,0,0,0,0.0116478988958575,0,0.016355711648453,0,0,-5.64789136664183e-06,0,0.000470357520199837,0,-0.0123536729267959,0.000614260393535055,0,0,-0.00326983463610024,0.104511337852202,0,0,0,0,0.0849980356864554,-0.0461559896243547,0.157214074018745,-0.00536924119248701,0,0,0,-0.00976985408969451,1.00920465037091,-0.235265170063425,-1.63500008421901,0.384261969425466,"2016-12-02aaADeilnortttt",2016-12-02,"Atlanta","Detroit","Detroit","Atlanta",-0.0975030542231035,0.190686878888359,-0.476798634486067
