"","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","travel_differential","rest_differential","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"138",0.0147186818951803,0,0,-0.0105783838600436,0,0.0966973846355804,0.0706728575306517,-0.0467032291830852,0,-0.265933419886977,-0.0911010151425824,0,0.0905053290292395,0,-0.103322545387885,-0.00861556027495231,0.42972065829431,0,0,-0.0646046572433077,0,0,0,0.261174604179736,0.0764721455840763,0.0959316162574943,0.331341411600885,-0.0798723468940623,0,0,0.0335259385972689,0.0877159303542639,"2015-11-14 aaaAdehhiiillnnnoopPSt",2015-11-14,"San Antonio","Philadelphia","San Antonio","Philadelphia"
"139",-0.0338820780512217,0.000138172303817183,0.123594636428682,0,0,0.0404937959305223,-0.186423145774199,0,-0.0400761300803331,0.168366896139482,-0.10282457654177,0.0374528687997138,0.0883538815306577,0,0.0378174062975785,-0.00487114947829809,0,0.371200144322642,0,0.0454409477951695,0,0.0930361183753804,0,0.0635304358662415,0,0.0998715829423923,0.331341411600885,0,0.893219041905806,-0.119832450479716,-0.116212445008501,0.0438579651771319,"2015-11-14 aBdeeGkllnnooorStty",2015-11-14,"Golden State","Brooklyn","Golden State","Brooklyn"
"140",0,0,0,0,0,-0.0541995126602767,0.0503963556944184,0,-0.0116929330318361,-0.0106859285204882,-0.00141678021602957,-0.0172797582418438,-0.186673277278803,-0.00239486468927786,0,0,0.178866392651886,0,0,-0.0412724798829925,0,0.0551925568693937,0,0.00935616640262388,0.0172171520513642,0,0.331341411600885,0,0.516836414895845,0,0.000366867317669449,-0.0438579651771319,"2015-11-14 ACDeeiilLopprrstt",2015-11-14,"LA Clippers","Detroit","LA Clippers","Detroit"
"141",-0.0248010028201579,7.36621726423803e-05,-0.0673354028598316,-0.0718106307990759,0,0,0,-0.00867353851799801,0.0147974656656608,0.0292107353515592,0,-0.0404716834615953,0,0,-0.0567995392644823,0.0124867178624412,0,-0.405946908160617,0,0,0,-0.047026663696721,-0.133085835218242,0,0.0837199543625283,-0.0915239286338273,0.331341411600885,0,0.156447779644148,-0.784902550642139,0.0582369589900254,0.0877159303542639,"2015-11-14aaCdeeeeiklllMnuvw",2015-11-14,"Milwaukee","Cleveland","Milwaukee","Cleveland"
"142",-0.0706390133716674,0,0,-0.00630988242002752,0,-0.0448029582692784,0.0649874281238773,-0.0480085602392912,0.0484074564236753,-0.179720600432423,0,0.040076830631203,0.0811203743508127,-0.00221078501699102,-0.00433635539225706,0.00700215997531962,0,0,0,-0.130379992022735,-0.112450015682512,0,0,0,0,0.106626690051331,0.331341411600885,-0.0798723468940623,0,-0.331636306702614,0.0603312632939308,0.131573895531396,"2015-11-14aadghilnnnooOrstW",2015-11-14,"Washington","Orlando","Washington","Orlando"
"143",-0.00330717321749387,1.94665845049089e-05,0,0,0.186028701384703,0.0532684106821473,-0.155801544287117,0.0713524633060713,0.0591468005273115,-0.193045466792312,-0.0866027230139389,-0.0317656090813248,-0.0181790489584311,0,-0.0510231506456157,-0.0100609494139954,0,-0.395962381575752,0,0,0,0,0,-0.0145021774709112,0,0.0903694201032694,0,0,0.349213793848544,-0.545237649682708,0.0519969022230916,0,"2015-11-14aaDHllnoosstu",2015-11-14,"Houston","Dallas","Dallas","Houston"
"144",-0.00942153631158972,0,0,-0.000530908481689881,-0.0423507765403623,0.00273397975514263,0.0520799945613644,-0.0990458638277854,0.0489169119375077,0,0,-0.036891027628478,0.024043417347802,0,0.0482700774484136,-0.002541012383496,0,0,0,-0.0828825289236075,0.118109682494437,0.0753336707884451,0,0.11309931333077,0,-0.0973188526460739,0.331341411600885,-0.0798723468940623,0,-0.497304669490821,0.0465826844284183,0.0438579651771319,"2015-11-14DeeehinnoPrvx",2015-11-14,"Phoenix","Denver","Phoenix","Denver"
"145",0,-0.00820910571151563,0,0,0,-0.00791314422782378,-0.0605733861917072,0,0.101047590132289,0.00544177331239065,0.0977348992905068,0.0278331539037834,0.070274818278147,0,0.01865365152579,-0.00269888290070455,0.218235931475864,0,0,-0.0137561075222512,0,-0.0624012588711182,0,0.125289197764226,0,-0.0872573411652034,0,0,0.127306603723368,-0.373840496514404,-0.027349671265074,0,"2015-11-15  aeeeklnNNoOrrswwY",2015-11-15,"New York","New Orleans","New Orleans","New York"
"146",0.00537973072939646,0.00858454136958973,0,0.194902259843389,0,-0.0364273104827714,0.00179841594460922,-0.0860504891189836,0.0938896165197516,-0.142313728508365,0,0,-0.1146250514575,0,-0.0412000421685918,0,0,0.327917175026273,0,0.0630746507854492,-0.0795671947766419,0,0.0485183099939852,-0.0967490330752756,0,0,0.302256333525231,0,0.591525633462116,0,0.119366230475227,0,"2015-11-15 aaBChiklmnoooOstty",2015-11-15,"Oklahoma City","Boston","Oklahoma City","Boston"
"147",0,-0.00980542157432964,-0.125377503255765,0,-0.138653700451808,0.0411285770935391,0.0449989745398728,0,-0.107005664321041,0.0992325945917809,-0.0893310896340288,-0.0315478408122263,0.078224498320207,0,0,0,0.269228788569896,0,0,-0.04408236554396,-0.0952881572530367,0.0499772059542965,-0.0490481050899514,0.119297232051442,-0.0728113662035892,-0.0957661583692194,0.302256333525231,0,0.0212177672872281,-0.640789994025433,-0.0989740651422297,0.0464127312215315,"2015-11-15 aADeeikLLorrstt",2015-11-15,"LA Lakers","Detroit","LA Lakers","Detroit"
"148",-0.028949028778236,-0.00833575399415495,0,-0.00622274729446549,0,-0.0272517518967002,0.00493080879342407,0,0,0.0931637272526568,0,0,-0.111444234877447,0,0.0410050798251302,0.00255201007448816,-0.163106419296222,0,0,-0.0161447577698438,-0.0892405850312986,0.11591674039832,0,-0.0839925538379145,0,-0.00151707634850218,0,0,0.318266509308421,-0.521249995139994,0.0427400306470236,0,"2015-11-15aaaAhlntttU",2015-11-15,"Atlanta","Utah","Utah","Atlanta"
"149",-0.00568529498888373,0.0259437899109409,0.138093696985715,0,0,-0.0828851248970323,0.0178691587339325,0.0234690115247482,-0.106962402539929,0.136453259610765,0,-0.00772932885020007,-0.00585178083614257,0,0,0.00824555569200179,0,0,0,-0.0420981828515198,0.103884171119768,-0.0636031660395568,0,0,0,0,0,0,0.267343867819074,-0.484183328818928,0.00542341796270259,0,"2015-11-15aaCdehllnooPrrttt",2015-11-15,"Charlotte","Portland","Portland","Charlotte"
