"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","selected_team_travel","opposing_team_rest","selected_team_rest","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance","sim"
0,-0.0535035577735131,0,-0.0849881591682258,0,-0.0190850602564385,-0.0508283387487114,0.0210808542531231,0,0.0254000297158533,-0.0428933106331479,-0.0257696030279643,-0.028091937537496,0,-0.00176129220870529,0.0677762474582645,0,0.00660843467858839,0.0254240192695029,0.00786759803278377,-0.00821540873250956,0,0,0.0389184148121975,-0.0235165358211271,0,0,0,0,0,0,0,0.537307470841122,0.963632249625398,0,-0.931572484912128,0,"2017-04-13aadiInnnooortT",2017-04-13,"Indiana","Toronto","Indiana","Toronto",-0.145577605687525,0.537307470841122,0.0320597647132694,99
0,-0.0535035577735131,0,-0.0849881591682258,0,-0.0190850602564385,-0.0508283387487114,0.0210808542531231,0,0.0254000297158533,-0.0428933106331479,-0.0257696030279643,-0.028091937537496,0,-0.00176129220870529,0.0677762474582645,0,0.00660843467858839,0.0254240192695029,0.00786759803278377,-0.00821540873250956,0,0,0.0389184148121975,-0.0235165358211271,0,0,0,0,0,0,0,0.537307470841122,0.963632249625398,0,-0.931572484912128,0,"2017-04-13aadiInnnooortT",2017-04-13,"Indiana","Toronto","Indiana","Toronto",-0.145577605687525,0.537307470841122,0.0320597647132694,99
0,-0.0535035577735131,0,-0.0849881591682258,0,-0.0190850602564385,-0.0508283387487114,0.0210808542531231,0,0.0254000297158533,-0.0428933106331479,-0.0257696030279643,-0.028091937537496,0,-0.00176129220870529,0.0677762474582645,0,0.00660843467858839,0.0254240192695029,0.00786759803278377,-0.00821540873250956,0,0,0.0389184148121975,-0.0235165358211271,0,0,0,0,0,0,0,0,0.963632249625398,0,-0.931572484912128,0,"2017-04-13aadiInnnooortT",2017-04-13,"Toronto","Indiana","Indiana","Toronto",-0.145577605687525,0,0.0320597647132694,99
0,-0.0535035577735131,0,-0.0849881591682258,0,-0.0190850602564385,-0.0508283387487114,0.0210808542531231,0,0.0254000297158533,-0.0428933106331479,-0.0257696030279643,-0.028091937537496,0,-0.00176129220870529,0.0677762474582645,0,0.00660843467858839,0.0254240192695029,0.00786759803278377,-0.00821540873250956,0,0,0.0389184148121975,-0.0235165358211271,0,0,0,0,0,0,0,0.537307470841122,0.963632249625398,0,-0.931572484912128,0,"2017-04-13aadiInnnooortT",2017-04-13,"Indiana","Toronto","Indiana","Toronto",-0.145577605687525,0.537307470841122,0.0320597647132694,99
0,-0.0535035577735131,0,-0.0849881591682258,0,-0.0190850602564385,-0.0508283387487114,0.0210808542531231,0,0.0254000297158533,-0.0428933106331479,-0.0257696030279643,-0.028091937537496,0,-0.00176129220870529,0.0677762474582645,0,0.00660843467858839,0.0254240192695029,0.00786759803278377,-0.00821540873250956,0,0,0.0389184148121975,-0.0235165358211271,0,0,0,0,0,0,0,0,0.963632249625398,0,-0.931572484912128,0,"2017-04-13aadiInnnooortT",2017-04-13,"Toronto","Indiana","Indiana","Toronto",-0.145577605687525,0,0.0320597647132694,99
-0.0645800353174282,-0.0668424321138277,0,0.03957370978305,0.00312976060895739,0.0476012483015649,0.130879307619656,0,0,0.0673486018819703,0.0157946857201275,0.00608359263695006,0,0,-0.0181936755627759,0,0,-0.00535294935068937,-0.0742153971731988,0,0.0322542576637882,0,0,0,-0.0397845175748424,4.61197993761207e-06,0,0,0,0,0,0,0.537307470841122,1.28472236382944,0,-0.808958928282505,0,"2017-04-13aaaAghilnnnostttW",2017-04-13,"Washington","Atlanta","Washington","Atlanta",0.0737007691032395,0.537307470841122,0.475763435546935,99
0.0645800353174282,0.0668424321138277,0,-0.03957370978305,-0.00312976060895739,-0.0476012483015649,-0.130879307619656,0,0,-0.0673486018819703,-0.0157946857201275,-0.00608359263695006,0,0,0.0181936755627759,0,0,0.00535294935068937,0.0742153971731988,0,-0.0322542576637882,0,0,0,0.0397845175748424,-4.61197993761207e-06,0,0,0,0,0,0,0,0.942805348757735,0,-1.10233531020313,0,"2017-04-13aaaAghilnnnostttW",2017-04-13,"Washington","Atlanta","Atlanta","Washington",-0.0737007691032395,0,-0.159529961445398,99
0.0645800353174282,0.0668424321138277,0,-0.03957370978305,-0.00312976060895739,-0.0476012483015649,-0.130879307619656,0,0,-0.0673486018819703,-0.0157946857201275,-0.00608359263695006,0,0,0.0181936755627759,0,0,0.00535294935068937,0.0742153971731988,0,-0.0322542576637882,0,0,0,0.0397845175748424,-4.61197993761207e-06,0,0,0,0,0,0,0.537307470841122,0.942805348757735,0,-1.10233531020313,0,"2017-04-13aaaAghilnnnostttW",2017-04-13,"Atlanta","Washington","Atlanta","Washington",-0.0737007691032395,0.537307470841122,-0.159529961445398,99
0.0645800353174282,0.0668424321138277,0,-0.03957370978305,-0.00312976060895739,-0.0476012483015649,-0.130879307619656,0,0,-0.0673486018819703,-0.0157946857201275,-0.00608359263695006,0,0,0.0181936755627759,0,0,0.00535294935068937,0.0742153971731988,0,-0.0322542576637882,0,0,0,0.0397845175748424,-4.61197993761207e-06,0,0,0,0,0,0,0.537307470841122,0.942805348757735,0,-1.10233531020313,0,"2017-04-13aaaAghilnnnostttW",2017-04-13,"Atlanta","Washington","Atlanta","Washington",-0.0737007691032395,0.537307470841122,-0.159529961445398,99
0,0.0655938764225749,-0.0956155153333768,0.0160966796054601,0.0491622525701224,0,0.0327867008331491,0,0,-0.0403022029625815,0.00796306356656033,0,0.024530353585038,0.294508538712446,0.0325978760006158,-0.022897265546536,0,0.0104020786712648,0.0177201244629848,-0.019837040238556,0,0,0,0,-0.0144457743323002,-1.5443359625171e-05,0,0,0,0,0,0,0.537307470841122,1.51114563367523,0,-0.97780470252647,0,"2017-04-14  aACdeeeGillLnopprsStt",2017-04-14,"Golden State","LA Clippers","Golden State","LA Clippers",0.358248302657241,0.537307470841122,0.533340931148764,99
