DATE,PLAYER_FULL_NAME,Cluster
10/26/16,Luke Babbitt,9
10/25/16,Maurice Harkless,9
10/26/16,Michael Beasley,9
10/26/16,Nemanja Bjelica,9
10/26/16,Nene,9
10/26/16,Omri Casspi,9
10/26/16,Patrick Patterson,9
10/28/16,Rodney McGruder,9
10/26/16,Rondae Hollis-Jefferson,9
10/27/16,Thabo Sefolosha,9
11/1/16,Tony Allen,9
10/27/16,Chris Paul,10
10/25/16,Damian Lillard,10
10/27/16,Jimmy Butler,10
10/27/16,John Wall,10
11/18/16,Jrue Holiday,10
10/26/16,Kyle Lowry,10
10/25/16,Kyrie Irving,10
10/27/16,Rajon Rondo,10
10/26/16,Ricky Rubio,10
10/26/16,Andre Drummond,11
10/26/16,Brook Lopez,11
10/26/16,Enes Kanter,11
10/26/16,Jonas Valanciunas,11
10/28/16,Justin Hamilton,11
10/26/16,Kenneth Faried,11
10/27/16,Marcin Gortat,11
10/25/16,Mason Plumlee,11
10/27/16,Robin Lopez,11
10/26/16,Steven Adams,11
10/28/16,Thomas Robinson,11
10/25/16,Tristan Thompson,11
10/26/16,Tyson Chandler,11
11/6/16,Chandler Parsons,12
10/26/16,D'Angelo Russell,12
11/8/16,Darren Collison,12
10/26/16,Deron Williams,12
10/25/16,Derrick Rose,12
10/26/16,Devin Booker,12
10/27/16,Dwyane Wade,12
10/26/16,Elfrid Payton,12
10/26/16,Emmanuel Mudiay,12
10/28/16,Eric Bledsoe,12
10/25/16,Evan Turner,12
10/26/16,Goran Dragic,12
10/26/16,Ish Smith,12
10/26/16,Jeff Teague,12
10/26/16,Jeremy Lin,12
11/19/16,Jonathan Gibson,12
10/26/16,Jose Juan Barea,12
10/26/16,Matt Barnes,12
10/26/16,Monta Ellis,12
10/26/16,Nicolas Batum,12
10/27/16,Raymond Felton,12
10/25/16,Shelvin Mack,12
10/26/16,Tim Frazier,12
10/26/16,James Harden,13
10/25/16,LeBron James,13
10/26/16,Russell Westbrook,13
10/25/16,Stephen Curry,13
11/12/16,Archie Goodwin,14
10/26/16,Cory Joseph,14
10/26/16,D.J. Augustin,14
10/27/16,Dennis Schroder,14
10/26/16,Dion Waiters,14
11/2/16,Jerian Grant,14
11/5/16,Jordan Farmar,14
10/30/16,Jose Calderon,14
10/29/16,Malcolm Brogdon,14
10/25/16,Manu Ginobili,14
10/26/16,Marcelo Huertas,14
10/26/16,Mario Hezonja,14
10/26/16,Ramon Sessions,14
10/29/16,Sergio Rodriguez,14
10/25/16,Shaun Livingston,14
10/26/16,TJ McConnell,14
10/25/16,Tony Parker,14
10/26/16,Tyler Ennis,14
10/26/16,Boban Marjanovic,15
10/25/16,David Lee,15
11/9/16,Demetrius Jackson,15
10/25/16,Dewayne Dedmon,15
10/25/16,Jeff Withey,15
11/2/16,Nick Collison,15
10/28/16,Pascal Siakam,15
10/26/16,Tarik Black,15
10/26/16,Timofey Mozgov,15
10/26/16,Al Jefferson,16
10/26/16,Alexis Ajinca,16
10/26/16,Amir Johnson,16
10/28/16,Bismack Biyombo,16
10/30/16,Brandon Bass,16
10/26/16,Cody Zeller,16
10/26/16,Cole Aldrich,16
10/27/16,Cristiano Felicio,16
10/25/16,Ed Davis,16
11/26/16,Ian Mahinmi,16
10/26/16,JaMychal Green,16
10/27/16,Jaylen Brown,16
10/26/16,Jerami Grant,16
10/26/16,John Henson,16
10/26/16,Myles Turner,16
10/28/16,Salah Mejri,16
10/26/16,Serge Ibaka,16
10/27/16,Taj Gibson,16
10/26/16,Willie Cauley-Stein,16
10/25/16,Al-Farouq Aminu,17
10/26/16,Avery Bradley,17
10/26/16,Bojan Bogdanovic,17
10/25/16,Courtney Lee,17
11/9/16,Danny Green,17
11/5/16,Gary Harris,17
10/25/16,George Hill,17
10/26/16,Hollis Thompson,17
10/27/16,Isaiah Canaan,17
10/26/16,Jae Crowder,17
10/27/16,Jamal Crawford,17
10/27/16,JJ Redick,17
10/25/16,Joe Johnson,17
10/26/16,Jordan Clarkson,17
10/27/16,Kent Bazemore,17
10/27/16,Kyle Korver,17
10/26/16,Lou Williams,17
11/2/16,Marcus Smart,17
10/26/16,Marvin Williams,17
10/26/16,Nik Stauskas,17
10/27/16,Otto Porter,17
11/17/16,Patrick Beverley,17
10/25/16,Rodney Hood,17
10/26/16,Sean Kilpatrick,17
10/26/16,Seth Curry,17
10/26/16,Trevor Ariza,17
10/26/16,Wesley Matthews,17
10/26/16,Will Barton,17
10/26/16,Andrew Wiggins,18
10/26/16,Anthony Davis,18
10/25/16,Carmelo Anthony,18
10/26/16,DeMar DeRozan,18
10/26/16,Isaiah Thomas,18
10/29/16,Joel Embiid,18
10/25/16,Kawhi Leonard,18
10/25/16,Kevin Durant,18
10/26/16,Paul George,18
10/26/16,Victor Oladipo,18
10/30/16,Alex Abrines,19
10/28/16,Brandon Ingram,19
10/28/16,DeAndre Liggins,19
10/28/16,Dragan Bender,19
10/26/16,Eric Gordon,19
11/4/16,Ivica Zubac,19
10/29/16,Jahlil Okafor,19
10/29/16,Kris Dunn,19
10/27/16,Luc Mbah a Moute,19
11/6/16,Lucas Nogueira,19
10/29/16,Michael Carter-Williams,19
11/2/16,Mindaugas Kuzminskas,19
10/28/16,Sam Dekker,19
10/30/16,Troy Williams,19
10/29/16,Willy Hernangomez,19
11/12/16,Yogi Ferrell,19
10/26/16,Al Horford,20
10/26/16,Alex Len,20
10/27/16,Blake Griffin,20
10/28/16,Derrick Favors,20
10/26/16,Gorgui Dieng,20
10/26/16,Greg Monroe,20
10/26/16,Jabari Parker,20
10/26/16,Julius Randle,20
10/25/16,Kristaps Porzingis,20
10/26/16,Luol Deng,20
10/27/16,Markieff Morris,20
10/26/16,Nikola Jokic,20
10/26/16,Nikola Vucevic,20
10/26/16,PJ Tucker,20
10/26/16,Rudy Gay,20
10/26/16,Ryan Anderson,20
10/26/16,Thaddeus Young,20
10/28/16,TJ Warren,20
10/26/16,Tobias Harris,20
10/26/16,Zach Randolph,20
10/26/16,DeMarcus Cousins,21
10/25/16,Draymond Green,21
10/26/16,Giannis Antetokounmpo,21
10/26/16,Karl-Anthony Towns,21
10/25/16,LaMarcus Aldridge,21
10/28/16,Michael Kidd-Gilchrist,21
11/28/16,Bruno Caboclo,22
11/1/16,Dejounte Murray,22
10/26/16,Greivis Vasquez,22
10/29/16,Joakim Noah,22
10/28/16,JR Smith,22
10/25/16,Lance Thomas,22
11/5/16,Mike Miller,22
11/9/16,Stephen Zimmerman,22
10/27/16,Dwight Howard,23
10/26/16,Jusuf Nurkic,23
10/29/16,Marc Gasol,23
10/25/16,Pau Gasol,23
10/27/16,Paul Millsap,23
10/25/16,Rudy Gobert,23
10/29/16,Wade Baldwin,23
10/26/16,Andre Roberson,24
10/26/16,Andrew Bogut,24
10/25/16,Chris Andersen,24
10/26/16,Clint Capela,24
10/26/16,Ersan Ilyasova,24
10/26/16,Kosta Koufos,24
10/26/16,Larry Nance Jr.,24
10/28/16,Marquese Chriss,24
10/26/16,Miles Plumlee,24
10/26/16,Omer Asik,24
10/26/16,Willie Reed,24
11/1/16,Aaron Brooks,25
10/30/16,Anthony Morrow,25
10/25/16,Channing Frye,25
10/28/16,CJ Watson,25
10/28/16,CJ Wilcox,25
10/28/16,Darrun Hilliard,25
10/26/16,Gerald Green,25
10/25/16,Ian Clark,25
10/25/16,Iman Shumpert,25
10/26/16,Jason Terry,25
11/12/16,John Jenkins,25
10/26/16,KJ McDaniels,25
10/26/16,Leandro Barbosa,25
10/26/16,Luis Scola,25
10/26/16,Metta World Peace,25
11/18/16,Paul Pierce,25
10/30/16,Raul Neto,25
10/27/16,Tim Hardaway Jr.,25
10/27/16,Trey Burke,25
10/29/16,Troy Daniels,25
10/26/16,Tyler Johnson,25
