"share_minutes_cluster_0","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance"
0.000816477082685338,-0.0222700531022756,-0.076894284074546,0.0757225899665076,-0.0218232540704035,0,0,0,0,0,-0.953879869032962,-38.4510653134532,"2019-10-26aaacehmnorSttU",2019-10-26,"Utah","Sacramento","Sacramento","Utah",0.000816477082685338,-0.0452650012807175,-39.4049451824861
0.00285766978939868,-0.0169667952560689,-0.230682852223638,0.151445179933015,-0.0166263942853317,0,0,0.687603598103076,1.16930340604464,6.35592081796456,-1.98212722860504,-79.89989725219,"2019-10-26aadDeehhiiillopPrtt",2019-10-26,"Detroit","Philadelphia","Detroit","Philadelphia",0.00285766978939868,0.574772736271052,-74.3568002567858
-0.00898124790953872,-0.0487907062836306,-0.230682852223638,0.151445179933015,-0.047811829393137,0,0,0.687603598103076,2.13142516770878,11.585675304923,-1.98212722860504,-79.89989725219,"2019-10-26aaeeiiiklmMMuw",2019-10-26,"Milwaukee","Miami","Milwaukee","Miami",-0.00898124790953872,0.511763390135685,-68.1649240081632
-0.0171460187363921,-0.0184701152859138,-0.076894284074546,0.0757225899665076,-0.018099553545876,0,0,0,1.01660936447616,5.52592987415366,-1.03624170474826,-41.7710853990385,"2019-10-26acCghinoooortT",2019-10-26,"Chicago","Toronto","Toronto","Chicago",-0.0171460187363921,-0.0377413629398282,-36.264787865157
-0.00958936454609288,-2.04385016649402e-09,-0.148963380599775,0.222945568826453,-2.00986119897068e-09,0,0,0,0,0,0,0,"2019-10-27  aaaCdeeGhikllmnooOSttty",2019-10-27,"Oklahoma City","Golden State","Golden State","Oklahoma City",-0.00958936454609288,0.073982184172966,0
-0.0251221373264829,-0.0732773398597898,-0.148963380599775,0.148630379217635,-0.0720587470463237,0,0,0.666392742875459,0.942270661577287,5.80545685356328,-0.866863228284802,-38.3445121089474,"2019-10-27 aaACeehklLLorrstt",2019-10-27,"LA Lakers","Charlotte","LA Lakers","Charlotte",-0.0251221373264829,0.520723654587206,-32.4636478220916
-0.0359601170478483,-0.0153189308066535,-0.148963380599775,0.148630379217635,-0.015064178941661,0,0,0,0.882249248271756,5.43565681686059,-1.74174098238929,-77.0435358320839,"2019-10-27aaadDlllnoPrst",2019-10-27,"Dallas","Portland","Portland","Dallas",-0.0359601170478483,-0.0307161111304548,-72.4673707493408
-0.0209767349445782,-0.0103252634517731,-0.0744816902998877,0.148630379217635,-0.010153555637822,0,0,0.666392742875459,1.89293995131151,11.6626587899169,-1.74174098238929,-77.0435358320839,"2019-10-27aaeiiimMMnnost",2019-10-27,"Minnesota","Miami","Minnesota","Miami",-0.0209767349445782,0.720062612703612,-65.2296780732447
0.0187791722360985,-0.0330740963035858,-0.148963380599775,0.148630379217635,-0.0325240783015056,0,0,0.666392742875459,0,0,-0.821103753532086,-36.3204041799188,"2019-10-27BehiklmMnooprsy",2019-10-27,"Memphis","Brooklyn","Memphis","Brooklyn",0.0187791722360985,0.600461566888228,-37.1415079334509
-0.0313659392628842,-0.0178694826094633,-0.0732789673743111,0.14540413637521,-0.0175714180145194,0,0,0.658810947785827,0,0,0,0,"2019-10-28  aadeeeeGllnnNoOrsSttw",2019-10-28,"New Orleans","Golden State","New Orleans","Golden State",-0.0313659392628842,0.695495216162744,0
