"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","fb","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstaces","performance"
0.054248233985675,0.108049635331954,0.0724563196922537,0.00364386708822885,0,0.0711836588540926,-0.113354926344526,-0.0236140603118348,0,-0.0280022320534154,0,0,0.00326464108417948,0,-0.0217474496671129,-0.0599086927269375,0,-0.00109174594262972,-0.122084967855783,0.0666690998062555,-0.0335941264191178,0,0,-0.0442097553761995,0,-0.0217388158453211,0.22457802348234,-0.119955840918583,0.223451672298682,0,0,0,-0.0389870905621007,0.551507706852805,-0.120026220554617,-0.981614644314897,0.21929713527009,"2016-12-14aaadiiiImMnn",2016-12-14,"Miami","Indiana","Miami","Indiana",-0.0898313167002386,0.328073854862438,-0.330836022746619
-0.150349506035636,0.138073878234891,0,-0.0393690616211366,0,0.0107725869428267,0.103947687334917,-0.00548289701764916,0,-0.0131317020917496,-0.00116294544776601,-0.0681869407348431,-0.00289565355104869,0,0,0,-0.0959419975692858,0.000107740357839602,0,0,-0.0409902139797346,0,0,0,0,0.0383910793277953,0.202556813507854,-0.119955840918583,0.223451672298682,-0.0929407068462915,0,0,-0.0389870905621007,1.54114270616802,-0.335403353494808,-0.56566833573248,0.126372855435252,"2016-12-14aaCeghhilnnoorstttW",2016-12-14,"Washington","Charlotte","Charlotte","Washington",-0.12621794585058,0.213111938041662,0.76644387237598
0,0,0,0.0447547138118763,0.0887100138213505,-0.0401286379149172,-0.142806163177612,0.0965099228510349,0,0,0,0,0.00252344268420574,0.376667269668625,0.0646769898768899,0.0142931527153755,-0.0398017486068001,-0.00124235714220931,-0.207023824980307,-0.131128973113787,0,0,0,0,-0.00375465025378329,-0.00119045082008102,0.351062234973036,-0.119955840918583,0.223451672298682,0,0,0,-0.0389870905621007,1.24302513086437,-0.270523161613548,-0.636802832993741,0.142264622697098,"2016-12-14aaceHmnnooorsSttu",2016-12-14,"Houston","Sacramento","Houston","Sacramento",0.121058699419862,0.454558066353135,0.477963758954176
0.117989055936925,0.0234648509607729,0,0.052169969703921,0.111888509571285,0,0,0.0225806180607453,0,-0.0189469929900187,0,0,-0.00563263996465429,0,-0.00467989451207868,-0.046979529884465,0.0497549346495143,0.00218607433083441,0,0,-0.037932962528172,-0.105823067173511,0,0,-0.0400995847893018,0,0.218445954604348,-0.179933761377875,0.223451672298682,0,0,0,-0.0389870905621007,0.368636281309484,-0.080227382238006,-0.946930347782898,0.2115485071171,"2016-12-14aaDDeillorstt",2016-12-14,"Dallas","Detroit","Dallas","Detroit",0.119939341371795,0.261963865525155,-0.446972941594319
0.038753164204897,0,0,-0.112753282833891,0,0,0,-0.00410015978969911,0,0.0105123066194806,0.0643819920532607,0.0573578316499303,0.00244327184502276,0,-0.00408439928481921,0,0.00248474394447635,0.00159130125129249,0.12677665565414,0,0,0,0,-0.0336019006089033,0.0814779606437431,-0.0217478310543863,0,-0.179933761377875,0.223451672298682,-0.0635147782643806,0,0,-0.0389870905621007,1.40812199704174,-0.306453671063293,-0.332680075844692,0.0743222281948492,"2016-12-14aadehhiillnooopPrtT",2016-12-14,"Philadelphia","Toronto","Toronto","Philadelphia",0.209491654294544,-0.0199968673435734,0.843310478328606
0.0689063166619051,0.0554518510003509,0,0.0403205391553698,-0.0456401253149697,-0.181430749221879,-0.0894038978028876,-0.00508589271286391,0,-0.0145848538237433,0.0505889427157281,-0.0558802974633516,0,-0.365166151469438,0.00888907833667427,0.0582951598411541,0,-0.000709897830108459,-0.000835630808462974,0,0.0244968792016813,0,0,0,0,0.0110404424365019,0.137709031979714,-0.0599779204592916,0.111725836149341,-0.119283216986967,0,0,-0.0389870905621007,1.27360605519667,-0.277178576801884,-1.76258514523112,0.393769464684967,"2016-12-14aCdeeehillmMnpsv",2016-12-14,"Memphis","Cleveland","Memphis","Cleveland",-0.440748287098339,0.0701737306827965,-0.372388202151373
-0.161519219914951,0.0550997157549217,0,-0.152904136084274,0.0493927168189498,0,0.107692476704008,0.0304852716602249,0,0,0,-0.0500629355776913,0.00302913091704531,0.358518830591846,-0.0105249872205152,0.110410651169072,0,0.00099168267147942,-0.104518774074385,0.143931621188463,0,0.125887311762633,0,0,0.0223794632932636,-0.0378100566399577,0.141311242783667,-0.119955840918583,0.223451672298682,-0.362513093188719,0,0,-0.0389870905621007,1.81019227168325,-0.393957390164461,-0.845788666822117,0.188952999786848,"2016-12-15  adeeeGklnNoorSttwY",2016-12-15,"Golden State","New York","Golden State","New York",0.490478763020134,-0.117706019024954,0.759399214483519
0.054248233985675,0.148800302115158,0,-0.0401379010725329,0,-0.0225991719563662,0,-0.056634765456743,0,-0.0239398799707375,0.0388231931509396,0,0.00367558976530038,0,-0.050950448733135,0,0,0.000706999957699244,-0.122084967855783,0.0666690998062555,-0.0335941264191178,0.109538355359547,0,-0.0442097553761995,-0.03135336495832,0,0.146243755547161,-0.0599779204592916,0.223451672298682,0,0,0,-0.0389870905621007,0.494313765657215,-0.10757893737973,-0.981614644314897,0.21929713527009,"2016-12-15 aaadeeiIlnnnNOrsw",2016-12-15,"New Orleans","Indiana","New Orleans","Indiana",-0.00304260765836049,0.309717507386551,-0.375582680767321
-0.127232040779735,0.059895837617853,0,0.00923902409961815,0,0.0757965193766775,0,0.0300120778513374,0,-0.0159868407220766,0.0523840627090586,0.0563499048091837,-0.00310630854856289,0,0.0367937441274683,0,0.00439519761125197,0.000791488020043298,-0.113077686364292,-0.0672664172216885,0.00101266530194933,0,0,0,0.0274256881501564,-0.000796298912846877,0.185092486163689,-0.0599779204592916,0.223451672298682,0,0,0,-0.0389870905621007,0.64501185252353,-0.140375798759226,-1.59157112944888,0.355564162869962,"2016-12-15 aAehiinnnnoooPStx",2016-12-15,"Phoenix","San Antonio","Phoenix","San Antonio",0.0266306171253965,0.348566238003079,-0.731370912814617
-0.0664654389349225,0.0943319077914996,0,0.0122263715116703,0,0,0,-0.0609258032204989,0,0,0,0.108667309684039,-0.00523248039827385,0,0.0585525433488091,0,0,0.000223954474157861,0.115032181874837,0,-0.0620366712137334,-0.121942712263362,0,0,0.0352228149163606,0.0243093862327476,0,-0.179933761377875,0.223451672298682,-0.0154200082070311,0,0,-0.0389870905621007,1.45211553579221,-0.316028112398255,-0.944755274229032,0.211062585883012,"2016-12-15aacCeeghiiklMouw",2016-12-15,"Milwaukee","Chicago","Chicago","Milwaukee",0.13196336380333,0.0280979027137761,0.402394735047934
