"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","performance"
0,0.0184776457154754,-0.0515707009300588,-0.0163181301802593,0.0117774080407916,-0.0499010268672659,0,0.109753816091561,-0.0150343556938084,0,0,0,0,0.00862431210353434,0,0.00221026320892097,0,0.00897693123507453,-0.00792154844988453,0,0,0,-0.0207977089253319,0.245193104841109,0.0408082979075902,-0.0417781718783384,0.498411073149032,-0.518463549834347,"2020-02-21 aAeehikLLmMprss",2020-02-21,"LA Lakers","Memphis","LA Lakers","Memphis",0.24250013621911,-0.0200524766853148
-0.0191356398367288,0.00297750913620964,-0.0496375565831515,0,-0.0130882817209409,0.0467991178532929,0,0,-0.122845497323502,0,0,0.038374887700775,0,-0.0103342230619323,0,-0.00525393419240087,0.0121556867708332,0,0.0428414240407121,-0.0186013580330646,0,-0.0597073705290969,-0.0193656143408344,0,0,0,0.195036047468396,-0.406574682474408,"2020-02-21aaadDlllnoOrs",2020-02-21,"Orlando","Dallas","Orlando","Dallas",-0.174820850119829,-0.211538635006012
0.0087156072787823,-0.00663825479263599,0,0.0182840216577727,-0.00717543688073569,-0.00150043040257327,0,0,0,-0.00250511998635766,0,0.00732905206673121,0,0.0190009705155973,0,0,0.0130663121351848,-0.0119714306181301,-0.0397395851464231,0.00111877808610173,-0.0576313952203066,0.0627906982918706,-0.051255668859151,0,0.0408876024438977,-0.0388824957628146,0.398899710113713,-0.121998785545708,"2020-02-21aaCdeeghillnnnostvW",2020-02-21,"Washington","Cleveland","Washington","Cleveland",-0.0461067751931896,0.276900924568005
0.0180229306637518,-0.0228692115707914,0,-0.019849770839063,0.00260438922641664,0,0.0725987668918938,0,-0.13223008746597,0.00347854579620689,0,0.0324526730465446,0,0.00112308169126671,0,-0.00506805855008946,0,-0.0222026806438228,0.00202879663088462,0.0254856130496437,0,0.0525976667151819,0.0236016481509201,0,0,0,0.0652682761969086,-0.602585113231553,"2020-02-21aBeiMnnnooosstt",2020-02-21,"Minnesota","Boston","Minnesota","Boston",0.0317743027929741,-0.537316837034645
-0.0756328116741942,-0.00208540186880996,0,-0.0579768480237952,-0.010283091530567,0.0162150340954087,-0.178897071575128,0,-0.0620013338928736,-0.000174874175811826,0,0,0,0.00753771607516156,0,-0.00241135963346881,0,0.00995952079398419,0.0380522889797161,-2.93512636930555e-05,0,0.0614246275370691,0,0,0,0.00547363699350579,0.307845374497466,-0.773686167552842,"2020-02-21ehinnooooPrtTx",2020-02-21,"Toronto","Phoenix","Phoenix","Toronto",-0.250829319163496,-0.465840793055376
0.0312400346291164,0.0129872352318169,0,0.00845551699629418,0,0.00466410651702946,0.0221852301893115,0,0,-0.0036223372778165,0,0,0,-0.00131841534599074,0,0,0.0107897698766236,-0.006076993082812,-0.046861723821289,-0.00710409574761751,0,-0.068784442704599,-0.020024195710186,0,0,-0.0455469641795743,0.41886718047325,-0.56373910590504,"2020-02-22 aaAcCeeilLmnopprrsSt",2020-02-22,"LA Clippers","Sacramento","Sacramento","LA Clippers",-0.109017274429693,-0.14487192543179
0,0.0109319893652575,0.0584502149521743,0,0,-0.0558483128405553,0,0,0.0521639265686105,0.00297399141955531,-0.00167345480461858,-0.0401732673099199,0,0.0102409211555245,0,0.00250480668593803,-0.0144911130602984,0.0140625708578685,-0.0481884493813649,0,0,-0.00233096485285028,0,0,0.0983845800270342,-0.0563675380231136,0.448899310198864,-0.395415498167442,"2020-02-22aaaaADlllnstt",2020-02-22,"Atlanta","Dallas","Dallas","Atlanta",0.030639900759242,0.0534838120314218
0,0.0173970035566261,-0.0607745448762112,-0.0167220777094721,0.0127226165491304,-0.0120764828662964,0,-0.0141106364290609,0.0432132102580813,0,0.000926864095209089,0,0,-0.00305523396980576,0,0.00179472724026465,0.0110897392990838,-0.00246618374627393,0.0429982043226943,-0.00799620159656063,0,0,0,0.259024118848962,0,0,0.540395768874054,-0.758601235181913,"2020-02-22aaadeeehhiiiklllMpPuw",2020-02-22,"Milwaukee","Philadelphia","Philadelphia","Milwaukee",0.27196512297637,-0.218205466307859
-0.0102155874673406,0.0392478587764531,0,-0.0466423850790803,0,0.0243480394098555,0,0,0.0484007628188942,0,0,-0.0362377797515827,0,-0.00472141624994618,0.0519889969181075,0,0.00313556674377082,0.000867193082513206,0,-0.00701583073696007,0.0606845478457942,-0.0626850711099429,0,0,-0.0444584187750887,-0.008992292118675,0.175882690584253,-0.420916536242569,"2020-02-22aaCdeeiillmMnv",2020-02-22,"Miami","Cleveland","Cleveland","Miami",0.00770418430677217,-0.245033845658316
-0.036253572760279,0.0283439970766886,0,0,0,-0.0801774402451826,0.00135450567163158,0,-0.0802761374078775,0.00407768276608724,0,0.0282199928506607,0,0.00930209993765429,0,0.00166264700955246,-0.0147983356913388,-0.000545968494181545,0.101090860350151,0.00665103488966605,0,0.066997286841269,0.0191085007492235,0,0.0990556046824499,0.0861205842322425,0.417501311493805,-0.310094619563722,"2020-02-22aBCehkllnooorrtty",2020-02-22,"Charlotte","Brooklyn","Brooklyn","Charlotte",0.239933342458417,0.107406691930084
0,0.0162790847403048,0,-0.013605076638718,4.42930645058183e-05,0.0245079599991014,0,0,-0.192650937801637,-0.00323509287246445,-0.00135958683579016,0,0,0,0,-0.00325159688118074,0,0.0116548338140841,0,-0.000707452172722329,0,-0.00205554340346844,0.0271262255447867,0,-0.0668092393276975,0.0609978872781536,0.291257461145219,-0.245032173987842,"2020-02-22acCeghhiinooPx",2020-02-22,"Chicago","Phoenix","Phoenix","Chicago",-0.143064241492742,0.046225287157377
-0.0141374747894686,0,0.0551770335179421,0.00322211413267786,0.0135268875029132,0.0148248030713032,0,0,-0.121039509581541,0,-0.00128621118408315,0,0.269453573018083,0.0110298137621257,0,-0.0022976058806584,-0.0101287362682901,-0.0304342439959653,0.0575238603907463,0,-0.0350913568876116,-0.0796215437902763,0,0.223591595065468,0,0,0.510110530260174,-0.528243424158779,"2020-02-22ahHnoosttuU",2020-02-22,"Utah","Houston","Houston","Utah",0.354312998083365,-0.018132893898605
-0.048776338816677,-0.0183065499908471,0.0850927538650836,0.042298619557065,0,-0.0555117789930166,-0.0972755354497884,0,0.0884325659623433,0,-0.000451627626780995,0,0,0.0210527574566839,0,0.000175949291480346,0,-0.0162099819707989,-0.0608440993512518,0.00772469207649544,0,0.0910408938858902,0.0278952806632774,0,0,-0.0505872933236141,0.416753221647577,-0.762008709790278,"2020-02-23  aaaAChiiklmnnnoooOStty",2020-02-23,"Oklahoma City","San Antonio","San Antonio","Oklahoma City",0.0157503072355444,-0.345255488142702
