"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Skal Labissiere",NA,"PF",23,"6' 10""",235,2338847,"Portland Trailblazers",NA,NA,NA,NA,NA
"Solomon Hill","Memphis","SF",28,"6' 6""",226,12758781,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Spencer Dinwiddie","Brooklyn","PG",26,"6' 5""",215,10605600,"Brooklyn Nets",NA,NA,NA,NA,NA
"Stanley Johnson","Toronto","SF",23,"6' 6""",242,3623000,"Toronto Raptors","Out","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Stephen Curry","Golden State","PG",31,"6' 3""",185,40231758,"Golden State Warriors","Out",NA,"Feb 28",2020-02-28,2019-12-22
"Sterling Brown","Milwaukee","SG",24,"6' 5""",219,1618520,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Steven Adams","Oklahoma City","C",26,"6' 11""",265,25842697,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Sviatoslav Mykhailiuk","Detroit","SG",22,"6' 7""",205,1416852,"Detroit Pistons",NA,NA,NA,NA,NA
"T.J. Leaf","Indiana","PF",22,"6' 10""",222,2813280,"Indiana Pacers",NA,NA,NA,NA,NA
"T.J. McConnell","Indiana","PG",27,"6' 1""",190,3500000,"Indiana Pacers",NA,NA,NA,NA,NA
"T.J. Warren","Indiana","SF",26,"6' 8""",220,10810000,"Indiana Pacers","Day-To-Day","Dec 19",NA,2019-12-23,2019-12-22
"Tacko Fall","Boston","C",24,"7' 5""",311,NA,"Boston Celtics",NA,NA,NA,NA,NA
"Taj Gibson","New York","PF",34,"6' 9""",232,9e+06,"New York Knicks",NA,NA,NA,NA,NA
"Talen Horton-Tucker","LA Lakers","SG",19,"6' 4""",234,898310,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Taurean Prince","Brooklyn","PF",25,"6' 7""",218,3481986,"Brooklyn Nets",NA,NA,NA,NA,NA
"Terance Mann","LA Clippers","SG",23,"6' 5""",215,1e+06,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Terence Davis","Toronto","SG",22,"6' 4""",201,898310,"Toronto Raptors",NA,NA,NA,NA,NA
"Terrance Ferguson","Oklahoma City","SG",21,"6' 6""",190,2475840,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Terrence Ross","Orlando","SG",28,"6' 6""",206,12500000,"Orlando Magic",NA,NA,NA,NA,NA
"Terry Rozier","Charlotte","PG",25,"6' 1""",190,19894737,"Charlotte Hornets",NA,NA,NA,NA,NA
"Thabo Sefolosha","Houston","SF",35,"6' 6""",215,1620564,"Houston Rockets",NA,NA,NA,NA,NA
"Thaddeus Young","Chicago","PF",31,"6' 8""",235,12900000,"Chicago Bulls",NA,NA,NA,NA,NA
"Thanasis Antetokounmpo","Milwaukee","SF",27,"6' 6""",219,1445697,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Theo Pinson","Brooklyn","SG",24,"6' 5""",212,1445697,"Brooklyn Nets",NA,NA,NA,NA,NA
"Thomas Bryant","Washington","C",22,"6' 10""",248,8e+06,"Washington Wizards","Out",NA,"Jan 5",2020-01-05,2019-12-22
"Thon Maker","Detroit","PF",22,"7' 0""",221,3569643,"Detroit Pistons",NA,NA,NA,NA,NA
"Tim Frazier","Detroit","PG",29,"6' 0""",170,1620564,"Detroit Pistons",NA,NA,NA,NA,NA
"Tim Hardaway Jr.","Dallas","SG",27,"6' 5""",205,20025127,"Dallas Mavericks",NA,NA,NA,NA,NA
"Timothe Luwawu-Cabarrot","Brooklyn","SG",24,"6' 7""",220,NA,"Brooklyn Nets",NA,NA,NA,NA,NA
"Tobias Harris","Philadelphia","SF",27,"6' 8""",226,32742000,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Tomas Satoransky","Chicago","SG",28,"6' 7""",210,1e+07,"Chicago Bulls",NA,NA,NA,NA,NA
"Tony Bradley","Utah","C",21,"6' 10""",248,1962360,"Utah Jazz",NA,NA,NA,NA,NA
"Tony Snell","Detroit","SG",28,"6' 6""",213,11392857,"Detroit Pistons",NA,NA,NA,NA,NA
"Torrey Craig","Denver","SF",29,"6' 7""",221,2e+06,"Denver Nuggets","Day-To-Day","Dec 18",NA,2019-12-23,2019-12-22
"Trae Young","Atlanta","PG",21,"6' 1""",180,6273000,"Atlanta Hawks","Day-To-Day","Dec 21",NA,2019-12-23,2019-12-22
"Tremont Waters","Boston","PG",21,"5' 10""",175,NA,"Boston Celtics",NA,NA,NA,NA,NA
"Treveon Graham","Minnesota","SG",26,"6' 5""",219,1645357,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Trevor Ariza","Sacramento","SF",34,"6' 8""",215,12195122,"Sacramento Kings","Day-To-Day","Dec 20",NA,2019-12-23,2019-12-22
"Trey Burke","Philadelphia","PG",27,"6' 0""",185,1620564,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Trey Lyles","San Antonio","PF",24,"6' 9""",234,5500000,"San Antonio Spurs",NA,NA,NA,NA,NA
"Tristan Thompson","Cleveland","C",28,"6' 9""",254,18539130,"Cleveland Cavaliers",NA,NA,NA,NA,NA
