"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Iman Shumpert","Houston","SG",28,"6' 5""",215,11011234,"Houston Rockets","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Isaac Bonga","LA Lakers","PG",19,"6' 8""",180,1e+06,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Isaiah Briscoe","Orlando","PG",22,"6' 3""",215,838464,"Orlando Magic",NA,NA,NA,NA,NA
"Isaiah Canaan","Minnesota","PG",27,"6' 0""",200,1512601,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Isaiah Hartenstein","Houston","PF",20,"7' 0""",249,838464,"Houston Rockets",NA,NA,NA,NA,NA
"Isaiah Hicks","New York","PF",24,"6' 9""",230,NA,"New York Knicks",NA,NA,NA,NA,NA
"Isaiah Thomas","Denver","PG",30,"5' 9""",185,1512601,"Denver Nuggets","Out","Feb 8","Feb 13",2019-02-13,2019-02-09
"Isaiah Whitehead","Detroit","SG",23,"6' 4""",213,NA,"Detroit Pistons",NA,NA,NA,NA,NA
"Ish Smith","Detroit","PG",30,"6' 0""",175,6e+06,"Detroit Pistons","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Ivan Rabb","Memphis","PF",22,"6' 10""",220,1378242,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Ivica Zubac","LA Clippers","C",21,"7' 1""",240,1544951,"Los Angeles Clippers","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"J.J. Barea","Dallas","PG",34,"6' 0""",185,3710850,"Dallas Mavericks","Out",NA,"Out for the season",2020-02-09,2019-02-09
"J.P. Macura","Charlotte","SG",23,"6' 5""",205,NA,"Charlotte Hornets","Out",NA,"Feb 11",2019-02-11,2019-02-09
"Jabari Parker","Washington","PF",23,"6' 8""",245,2e+07,"Washington Wizards","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Jacob Evans","Golden State","SG",21,"6' 6""",210,1644240,"Golden State Warriors",NA,NA,NA,NA,NA
"Jae Crowder","Utah","PF",28,"6' 6""",235,7305825,"Utah Jazz",NA,NA,NA,NA,NA
"Jahlil Okafor","New Orleans","C",23,"6' 11""",275,1567707,"New Orleans Pelicans","Day-To-Day","Feb 9","Game Time Decision",2019-02-10,2019-02-09
"Jake Layman","Portland","SF",24,"6' 9""",215,1544951,"Portland Trailblazers",NA,NA,NA,NA,NA
"Jakob Poeltl","San Antonio","C",23,"7' 0""",230,2947320,"San Antonio Spurs",NA,NA,NA,NA,NA
"Jalen Brunson","Dallas","PG",22,"6' 3""",190,1230000,"Dallas Mavericks",NA,NA,NA,NA,NA
"Jamal Crawford","Phoenix","SG",38,"6' 5""",185,1512601,"Phoenix Suns",NA,NA,NA,NA,NA
"Jamal Murray","Denver","PG",21,"6' 4""",207,3499800,"Denver Nuggets","Out","Feb 6",NA,2019-02-10,2019-02-09
"James Ennis III","Philadelphia","SF",28,"6' 7""",210,1621415,"Philadelphia 76ers",NA,NA,NA,NA,NA
"James Harden","Houston","PG",29,"6' 5""",220,35650150,"Houston Rockets",NA,NA,NA,NA,NA
"James Johnson","Miami","PF",31,"6' 8""",240,14651700,"Miami Heat",NA,NA,NA,NA,NA
"JaMychal Green","LA Clippers","PF",28,"6' 9""",227,7666667,"Los Angeles Clippers","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Jared Dudley","Brooklyn","SF",33,"6' 7""",237,9530000,"Brooklyn Nets","Out","Feb 8","Game Time Decision",2019-02-10,2019-02-09
"Jared Terrell","Minnesota","SG",23,"6' 3""",227,NA,"Minnesota Timberwolves","Day-To-Day","Feb 8","Game Time Decision",2019-02-10,2019-02-09
"Jarell Martin","Orlando","PF",24,"6' 10""",239,2416222,"Orlando Magic",NA,NA,NA,NA,NA
"Jaren Jackson Jr.","Memphis","PF",19,"6' 11""",242,5915040,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Jaron Blossomgame","Cleveland","SF",25,"6' 8""",220,NA,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Jarred Vanderbilt","Denver","PF",19,"6' 9""",214,838464,"Denver Nuggets",NA,NA,NA,NA,NA
"Jarrett Allen","Brooklyn","C",20,"6' 11""",237,2034120,"Brooklyn Nets",NA,NA,NA,NA,NA
"Jason Smith","New Orleans","PF",32,"7' 0""",240,5450000,"New Orleans Pelicans","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"JaVale McGee","LA Lakers","C",31,"7' 0""",270,1512601,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Jawun Evans","Phoenix","PG",22,"6' 0""",190,1378242,"Phoenix Suns",NA,NA,NA,NA,NA
"Jaylen Adams","Atlanta","PG",22,"6' 2""",190,1378242,"Atlanta Hawks","Day-To-Day","Feb 9","Feb 10",2019-02-10,2019-02-09
"Jaylen Brown","Boston","SG",22,"6' 7""",220,5169960,"Boston Celtics",NA,NA,NA,NA,NA
"Jaylen Morris","Milwaukee","SG",23,"6' 5""",185,1378242,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Jayson Tatum","Boston","SF",20,"6' 8""",208,6700800,"Boston Celtics",NA,NA,NA,NA,NA
"Jeff Green","Washington","SF",32,"6' 9""",235,1512601,"Washington Wizards",NA,NA,NA,NA,NA
"Jeff Teague","Minnesota","PG",30,"6' 2""",195,1.9e+07,"Minnesota Timberwolves","Out","Feb 8",NA,2019-02-10,2019-02-09
"Jerami Grant","Oklahoma City","SF",24,"6' 9""",220,8653847,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Jeremy Lamb","Charlotte","SG",26,"6' 5""",185,7488372,"Charlotte Hornets",NA,NA,NA,NA,NA
"Jeremy Lin","Atlanta","PG",30,"6' 3""",200,13766421,"Atlanta Hawks",NA,NA,NA,NA,NA
"Jerian Grant","Orlando","PG",26,"6' 4""",205,2639314,"Orlando Magic",NA,NA,NA,NA,NA
"Jerome Robinson","LA Clippers","SG",21,"6' 5""",190,3046200,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Jerryd Bayless","Minnesota","PG",30,"6' 3""",200,8575916,"Minnesota Timberwolves","Day-To-Day","Feb 8","Game Time Decision",2019-02-10,2019-02-09
"Jevon Carter","Memphis","PG",23,"6' 2""",196,838464,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Jimmy Butler","Philadelphia","SG",29,"6' 8""",232,20445779,"Philadelphia 76ers",NA,NA,NA,NA,NA
"JJ Redick","Philadelphia","SG",34,"6' 4""",200,12250000,"Philadelphia 76ers","Day-To-Day","Feb 5",NA,2019-02-10,2019-02-09
"Joakim Noah","Memphis","C",33,"6' 11""",230,1093858,"Memphis Grizzlies","Day-To-Day","Feb 8","Game Time Decision",2019-02-10,2019-02-09
"Joe Chealey","Charlotte","PG",23,"6' 3""",190,NA,"Charlotte Hornets",NA,NA,NA,NA,NA
"Joe Harris","Brooklyn","SF",27,"6' 6""",218,8333333,"Brooklyn Nets",NA,NA,NA,NA,NA
"Joe Ingles","Utah","SF",31,"6' 8""",226,13045455,"Utah Jazz",NA,NA,NA,NA,NA
"Joel Embiid","Philadelphia","C",24,"7' 0""",250,25467250,"Philadelphia 76ers","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
"John Collins","Atlanta","PF",21,"6' 10""",235,2299080,"Atlanta Hawks",NA,NA,NA,NA,NA
"John Henson","Cleveland","F",28,"6' 11""",219,11327466,"Cleveland Cavaliers","Out",NA,"Feb 25",2019-02-25,2019-02-09
"John Jenkins","Washington","SG",27,"6' 4""",215,NA,"Washington Wizards",NA,NA,NA,NA,NA
"John Wall","Washington","PG",28,"6' 4""",210,19169800,"Washington Wizards","Out","Feb 9","Out for the season",2020-02-09,2019-02-09
"Johnathan Motley","LA Clippers","PF",23,"6' 10""",230,NA,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Johnathan Williams","LA Lakers","PF",23,"6' 9""",228,NA,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Jon Leuer","Detroit","PF",29,"6' 10""",228,10002681,"Detroit Pistons",NA,NA,NA,NA,NA
"Jonah Bolden","Philadelphia","PF",23,"6' 10""",220,1690000,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Jonas Jerebko","Golden State","PF",31,"6' 10""",231,1512601,"Golden State Warriors",NA,NA,NA,NA,NA
"Jonas Valanciunas","Memphis","C",26,"7' 0""",265,16539326,"Memphis Grizzlies","Out","Feb 9","Feb 12",2019-02-12,2019-02-09
"Jonathan Isaac","Orlando","PF",21,"6' 10""",210,4969080,"Orlando Magic",NA,NA,NA,NA,NA
"Jonathon Simmons","Philadelphia","SF",29,"6' 6""",195,6e+06,"Philadelphia 76ers","Out","Feb 8","Game Time Decision",2019-02-10,2019-02-09
"Jordan Bell","Golden State","PF",24,"6' 9""",224,1378242,"Golden State Warriors",NA,NA,NA,NA,NA
"Jordan Clarkson","Cleveland","PG",26,"6' 5""",194,12500000,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Jordan Loyd","Toronto","PG",25,"6' 4""",210,NA,"Toronto Raptors",NA,NA,NA,NA,NA
"Jordan McRae","Washington","SG",27,"6' 5""",179,NA,"Washington Wizards",NA,NA,NA,NA,NA
"Jose Calderon","Detroit","PG",37,"6' 3""",200,1512601,"Detroit Pistons",NA,NA,NA,NA,NA
"Josh Hart","LA Lakers","SG",23,"6' 5""",215,1655160,"Los Angeles Lakers","Day-To-Day","Feb 9","Game Time Decision",2019-02-10,2019-02-09
